date,site,sea_surface_temp_c
2026-06-09,monterey,13.8
2026-06-10,monterey,14.1
2026-06-11,monterey,13.5
2026-06-12,monterey,12.9
2026-06-13,monterey,MM
2026-06-14,monterey,12.4
2026-06-15,monterey,12.7
2026-06-16,monterey,13.1
2026-06-17,monterey,13.6
2026-06-18,monterey,14.0
2026-06-19,monterey,14.3
2026-06-20,monterey,MM
2026-06-21,monterey,15.1
2026-06-22,monterey,15.4
2026-06-23,monterey,14.8
2026-06-24,monterey,13.9
2026-06-25,monterey,13.2
2026-06-26,monterey,12.6
2026-06-27,monterey,12.1
2026-06-28,monterey,11.9
2026-06-29,monterey,12.5
2026-06-30,monterey,13.3
2026-07-01,monterey,12.7
2026-07-02,monterey,13.5
2026-07-03,monterey,13.8
2026-07-04,monterey,MM
2026-07-05,monterey,13.4
2026-07-06,monterey,13.7
2026-07-07,monterey,13.8
2026-07-08,monterey,15.6
2026-06-09,san_pedro,17.2
2026-06-10,san_pedro,17.5
2026-06-11,san_pedro,17.1
2026-06-12,san_pedro,MM
2026-06-13,san_pedro,17.8
2026-06-14,san_pedro,18.0
2026-06-15,san_pedro,18.3
2026-06-16,san_pedro,18.1
2026-06-17,san_pedro,18.6
2026-06-18,san_pedro,19.0
2026-06-19,san_pedro,19.2
2026-06-20,san_pedro,18.7
2026-06-21,san_pedro,MM
2026-06-22,san_pedro,19.5
2026-06-23,san_pedro,19.8
2026-06-24,san_pedro,19.4
2026-06-25,san_pedro,19.1
2026-06-26,san_pedro,18.9
2026-06-27,san_pedro,19.3
2026-06-28,san_pedro,19.7
2026-06-29,san_pedro,20.1
2026-06-30,san_pedro,20.4
2026-07-01,san_pedro,20.0
2026-07-02,san_pedro,20.3
2026-07-03,san_pedro,20.6
2026-07-04,san_pedro,20.2
2026-07-05,san_pedro,MM
2026-07-06,san_pedro,20.8
2026-07-07,san_pedro,21.0
2026-07-08,san_pedro,21.3
